"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"random","C | Iu=0.8",6,"OLS",0.797435069113486,1.00484107460729,0.352761676849397,0.352336950273586
"random","C | Iu=0.8",6,"SEM",0.798886712757653,1.00606969061131,0.352108602480179,0.350752190900169
"random","C | Iu=0.8",6,"GraphSAGE",0.802468093653097,1.01183472844974,0.344273820827094,0.343290158757095
"random","C | Iu=0.8",6,"GraphSAGE + LayerNorm",0.863110471619317,1.05778475623795,0.307136009810834,0.282290045022453
"random","C | Iu=0.8",1,"XGBoost",0.924192845364791,1.15305529060465,0.203426520155989,0.114908283770308
"random","C | Iu=0.8",2,"XGBoost",0.925712419923096,1.1573383987708,0.199503653975148,0.0955039608349211
"random","C | Iu=0.8",3,"XGBoost",0.922226455042028,1.16239773298147,0.204824247906383,0.143983707575786
"random","C | Iu=0.8",4,"XGBoost",0.899964106913288,1.1432626589464,0.213161085252063,0.15203161233915
"random","C | Iu=0.8",5,"XGBoost",0.94395782464526,1.1777593606852,0.181295898670316,0.0725207274768135
"random","C | Iu=0.8",6,"XGBoost",0.912760419663487,1.14991659640456,0.216704905231658,0.151821916978371
"random","C | Iu=0.8",1,"XGBoost + lags",0.89556833237627,1.12109731537251,0.220125940873832,0.163290623958179
"random","C | Iu=0.8",2,"XGBoost + lags",0.906120133282772,1.12606011353405,0.210558637782187,0.143733220315465
"random","C | Iu=0.8",3,"XGBoost + lags",0.918306743757026,1.15306401496191,0.222271680060136,0.157675641955638
"random","C | Iu=0.8",4,"XGBoost + lags",0.884057419975231,1.11245166907072,0.24313660851445,0.197121315237372
"random","C | Iu=0.8",5,"XGBoost + lags",0.91192450747121,1.15639684174869,0.192414151952477,0.105861331220151
"random","C | Iu=0.8",6,"XGBoost + lags",0.878382123751492,1.11781764082397,0.23971047135791,0.198513373374575
"random","D | Iu=0.0 Ix=0.4",1,"OLS",2.3665560052744,3.26102329717616,0.490055780908815,0.487537742841622
"random","D | Iu=0.0 Ix=0.4",1,"SEM",2.36625939628086,3.26134662645324,0.490046183272418,0.48743611690995
"random","D | Iu=0.0 Ix=0.4",1,"GraphSAGE",0.841564654847715,1.0668642018447,0.945365369075048,0.945150538540598
"random","D | Iu=0.0 Ix=0.4",1,"GraphSAGE + LayerNorm",0.88237232568271,1.12032658780988,0.939801577804641,0.939515601247359
"random","D | Iu=0.0 Ix=0.4",2,"OLS",2.40107120388863,3.21974512770372,0.470953751369678,0.469422310133657
"random","D | Iu=0.0 Ix=0.4",2,"SEM",2.40064544115783,3.21963724161252,0.471008216910452,0.469457866360466
"random","D | Iu=0.0 Ix=0.4",2,"GraphSAGE",0.868388625584152,1.09718577701969,0.938534189555553,0.938387854347212
"random","D | Iu=0.0 Ix=0.4",2,"GraphSAGE + LayerNorm",0.872430360828107,1.08908365125747,0.939578698562399,0.939294439614323
"random","D | Iu=0.0 Ix=0.4",3,"OLS",2.29950544937924,3.15281013494087,0.470457764687446,0.46920373901371
"random","D | Iu=0.0 Ix=0.4",3,"SEM",2.29925201834111,3.15253857224059,0.47048552858913,0.469295173798506
"random","D | Iu=0.0 Ix=0.4",3,"GraphSAGE",0.840511781898363,1.0583552278108,0.941115651444473,0.940187061664271
"random","D | Iu=0.0 Ix=0.4",3,"GraphSAGE + LayerNorm",0.838078517608058,1.05875129874017,0.940634580193768,0.940142285395836
"random","D | Iu=0.0 Ix=0.4",4,"OLS",2.49876650492795,3.4780149021777,0.390196354189957,0.386022153003801
"random","D | Iu=0.0 Ix=0.4",4,"SEM",2.4987298253567,3.47758825909153,0.390290982611235,0.386172775323929
"random","D | Iu=0.0 Ix=0.4",4,"GraphSAGE",0.888315000684925,1.11489448499358,0.937861050942419,0.936910460281202
"random","D | Iu=0.0 Ix=0.4",4,"GraphSAGE + LayerNorm",0.868601415106394,1.09694966478594,0.939221936925644,0.938925035366565
"random","D | Iu=0.0 Ix=0.4",5,"OLS",2.30390257462687,3.11322877381842,0.463299282606047,0.462180037829675
"random","D | Iu=0.0 Ix=0.4",5,"SEM",2.30299247143285,3.11303543601371,0.463313841212909,0.462246835170735
"random","D | Iu=0.0 Ix=0.4",5,"GraphSAGE",0.861110731400997,1.06936008967521,0.93683043093785,0.936545446975206
"random","D | Iu=0.0 Ix=0.4",5,"GraphSAGE + LayerNorm",0.871683281035481,1.09789346741339,0.9332947963739,0.93311399633143
